"1","GENERAL","शोषक","यो मुजि बानियाँ ले कस्तो खाते कुरा गर्दैछ कुलमान नभए को आज नेपाल उज्यालो हुन्थ्यो अझ कुलमान को कमजोरी देखाउछ यिनी 2 त शोषक हुन ।"
"1","GENERAL","उल्लु बनाए","सबै भन्दा ठुलो सरकार ले नै सबै लाई उल्लु बनाए को छ बाँकी पैसा त खान्छन नै यो अहिले को सरकार तुरुन्त धाल्नु पर्छ ।"
"1","GENERAL","न पहिला ठिक थियो न अहिले ठिक छ","यो पुलिस न पहिला ठिक थियो न अहिले ठिक छ यस्तो लाई बोलाउनु हुदैन ?"
"1","GENERAL","चोर","यिनी चोर हरु ले जनता लाई अन्धकार मा रखेर आफ्नो धुनु सुधारने कुकुर हरु हुन कुलमन सार ले गरे को ठिक काम हो ।"
"1","GENERAL","हरास","सहि कुरा के पि को अस्तित्व हरास हुदैछ !"
"0","GENERAL","कुरा सही हाे","कुरा सही हाे प्र म भएर काम गरेर देखाउनु पर्याे नारायण मान ज्यू ।"
"0","GENERAL","प्याक हुन्छ","नेता को सम्पति छान बिन गर्ने र जेल हाल्नी हो भनी जेल सधै प्याक हुन्छ ।"
"1","GENERAL","अाफु लाई देउता सम्झेकाे","याे सुर्य पाठाक अाफु लाई देउता सम्झेकाे छ ।"
"1","GENERAL","थुक्क कुकुर नालाएक","थुक्क कुकुर नालाएक हरु हो ।"
"1","GENERAL","चोर","यो पार्टी र उ पार्टी हैन सब चोर हुन भ्रष्ट देश बनाउने कम्युनिस्ट र काङ्ग्रेस नै हुन ।"
"1","GENERAL","जाठी","साबितृ को अनुहार देख्दा बोली सुन्दा अनुहार भरि थुक्न मन लाग्छ जाठी सबै बिदेस जाने केटा हरु बलात्कारी रबि को सपोटर भन्ने सुने पछि ।"
"1","GENERAL","जरो आउदै छ","यो कानुन नै गुन्डा नाइके तरफ जादै छ तेसै ले हत्य हिन्सा हुदै छ पुलिस भनेनी जनताला जरो आउदै छ झुट को सहारा लि दै छ्न इनि जन सेवक ।"
"1","GENERAL","लापरवाही","पुलिस को कुरा चै झुठो जस्तो लाग्यो है अनि पुलिस को पनि लापरवाही हुँदै आ को छ यो पनि तेस्तै होकि भने लग्छ बा की त चाल खेल होला राजनिती होला है अगाडी अनुसन्धान मा के निस्किन्छ चाल खेल न होस राजनीति न होस सत्ते तथ्थे हुनु पर्छ तेति हो ।"
"1","GENERAL","झोले","म कुनै पार्टी को झोले चै हैन तर ।"
"1","GENERAL","मुला","थुक् का एमाले को गोठालो यस्ता मुला जड्या दलाली डलरे का गोठाला बोल्ने तरिका तेरो यस्ता मुलालाइ नेता चाहिँ कस् ले बनायो ठिक लाई ठिक बेठिक लाई बेठिल भन्न नसक्ने कुपुत्र हरु किना गर्छौ राजनिती बोरु इशाइ को धोती धोयर बस्न यार ।"
"1","GENERAL","लुट","लुट लुट साला हो तिमी हरू को बाउ को सम्पती हो नेपाल लुट तर याद राख चोर भ्रष्टाचारि हरु परित्राणाय साधुनाम बिनासचाय च दुसकृताम ।"
"1","GENERAL","लाज पचे को नालायेक","भन्ने बेला मा राजा को नाम मा भए को सबै सम्पती सरकार को नाम ल्याउनु पर्छ भन्न लाज पचे को नालायेक सरकार ।"
"1","GENERAL","चोरी मुद्दा हाल्नु पर्छ","तिमी चोर हरु ले पुरै बत्ती पनि लिने अनि अहिले आयर बत्ती को बिल दिन्नौ भन्छ चोर हरु चोरी मुद्दा हाल्नु पर्छ ।"
"1","GENERAL","हस्तक्षेप गरिरहे का","अब गूठी मा हस्तक्षेप गरिरहे का छन ।"
"0","GENERAL","गरेकोे थिएन","राजा ले तँ यस्तो भस्त्रचार तँ गरेकोे थिएन ।"
"0","GENERAL","सलाम","रबि दाजु प्रति सलाम छ ।"
"1","GENERAL","बदनाम हुदैछ","बिश्वासिलो नेपाल प्रहरी आफ्नै काम ले आफै बदनाम हुदैछ भने नेपाली जनता ले बिश्वास गर्ने ठाउँ छैन !"
"1","GENERAL","लाजपचाएर","कस्ताे चित्न नबुजेकाे गधा हरूकाे कुरा पत्रकार् ले एस्ताे भन्दापनि लाजपचाएर बाेल्छन थुइक्क गधा हाे ।"
